epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,325.146,0.94742,0.7244,0.96943,0.7657,0.31897,0.35974,0.21559,1.29409,0.86021,0.9124,0.002575,0.002575,0.002575
77,329.301,0.87137,0.59971,0.90006,0.7657,0.31897,0.35974,0.21559,1.29409,0.86021,0.9124,0.002476,0.002476,0.002476
78,333.529,0.91681,0.66022,0.91817,0.80077,0.31897,0.3549,0.21066,1.29928,0.86258,0.90869,0.002377,0.002377,0.002377
79,337.18,1.05461,0.82519,0.91124,0.80077,0.31897,0.3549,0.21066,1.29928,0.86258,0.90869,0.002278,0.002278,0.002278
80,340.751,0.91613,0.64783,0.87929,0.80077,0.31897,0.3549,0.21066,1.29928,0.86258,0.90869,0.002179,0.002179,0.002179
81,345.27,0.92237,0.7357,0.95414,0.80077,0.31897,0.3549,0.21066,1.29928,0.86258,0.90869,0.00208,0.00208,0.00208
82,349.389,0.85801,0.58213,0.9038,0.81307,0.31897,0.35735,0.20078,1.37724,0.88545,0.92921,0.001981,0.001981,0.001981
83,352.838,1.02575,0.7081,1.08092,0.81307,0.31897,0.35735,0.20078,1.37724,0.88545,0.92921,0.001882,0.001882,0.001882
84,356.237,0.87115,0.63707,0.90033,0.81307,0.31897,0.35735,0.20078,1.37724,0.88545,0.92921,0.001783,0.001783,0.001783
85,359.666,0.82204,0.60785,0.87434,0.83437,0.31897,0.35907,0.20683,1.39707,0.89862,0.93273,0.001684,0.001684,0.001684
86,363.045,0.90343,0.62971,0.9475,0.83437,0.31897,0.35907,0.20683,1.39707,0.89862,0.93273,0.001585,0.001585,0.001585
87,366.431,0.79888,0.58869,0.85087,0.83437,0.31897,0.35907,0.20683,1.39707,0.89862,0.93273,0.001486,0.001486,0.001486
88,370.057,0.79049,0.61746,0.88492,0.83848,0.31897,0.35581,0.21533,1.40631,0.88589,0.92646,0.001387,0.001387,0.001387
89,373.78,0.78398,0.57326,0.8271,0.83848,0.31897,0.35581,0.21533,1.40631,0.88589,0.92646,0.001288,0.001288,0.001288
90,377.255,0.6988,0.55521,0.86598,0.83848,0.31897,0.35581,0.21533,1.40631,0.88589,0.92646,0.001189,0.001189,0.001189
91,380.906,1.01594,0.81352,1.03125,0.83218,0.31897,0.36021,0.22438,1.40768,0.86722,0.92807,0.00109,0.00109,0.00109
92,384.551,0.80372,0.64727,0.88995,0.83218,0.31897,0.36021,0.22438,1.40768,0.86722,0.92807,0.000991,0.000991,0.000991
93,388.188,0.87176,0.61898,0.83874,0.83218,0.31897,0.36021,0.22438,1.40768,0.86722,0.92807,0.000892,0.000892,0.000892
94,391.94,0.81246,0.62034,0.87353,0.84835,0.31897,0.36769,0.22878,1.41761,0.83701,0.93256,0.000793,0.000793,0.000793
95,395.547,0.62268,0.93674,0.67393,0.84835,0.31897,0.36769,0.22878,1.41761,0.83701,0.93256,0.000694,0.000694,0.000694
96,399.201,0.80598,0.6677,0.86894,0.84835,0.31897,0.36769,0.22878,1.41761,0.83701,0.93256,0.000595,0.000595,0.000595
97,402.88,0.96941,0.69944,0.92785,0.84835,0.31897,0.36769,0.22878,1.41761,0.83701,0.93256,0.000496,0.000496,0.000496
98,406.586,0.78003,0.78177,0.81742,0.84511,0.31897,0.3743,0.23081,1.39586,0.81545,0.92993,0.000397,0.000397,0.000397
99,410.215,0.9537,0.65375,0.82698,0.84511,0.31897,0.3743,0.23081,1.39586,0.81545,0.92993,0.000298,0.000298,0.000298
100,413.987,0.9549,1.07361,0.76387,0.84511,0.31897,0.3743,0.23081,1.39586,0.81545,0.92993,0.000199,0.000199,0.000199
